Variable,Narrow_Phon_Definition_Binary,Narrow_Phon_Definition_Detailed,Broad_Phon_Definition_Binary,Broad_Phon_Definition_Detailed,Broad_Phon_Definition_MoreDetailed,Broad_Phon_Definition_Consonantal_Vocalic,Broad_Phon_Definition_Prosodic_Segmental,Area_in_WALS
autotyp$Markers_per_language$FlexivityFormativeTense,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Markers_per_language$FlexivityStemCase,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Markers_per_language$FlexivityStemNeg,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Markers_per_language$FlexivityStemNounPlural,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Markers_per_language$FlexivityStemTense,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Markers_per_language$FusionCase,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
autotyp$Markers_per_language$FusionCase.binned.binned6,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
autotyp$Markers_per_language$FusionCase.isolating.Presence,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
autotyp$Markers_per_language$FusionCase.nonlinear.Presence,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
autotyp$Markers_per_language$FusionCase.reduplicative.Presence,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
autotyp$Markers_per_language$FusionCase.tonal.Presence,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
autotyp$Markers_per_language$FusionNegation,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
autotyp$Markers_per_language$FusionNegation.binned.binned6,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
autotyp$Markers_per_language$FusionNegation.isolating.Presence,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
autotyp$Markers_per_language$FusionNegation.nonlinear.Presence,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
autotyp$Markers_per_language$FusionNegation.reduplicative.Presence,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
autotyp$Markers_per_language$FusionNegation.tonal.Presence,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
autotyp$Markers_per_language$FusionNounPlural,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
autotyp$Markers_per_language$FusionNounPlural.binned.binned6,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
autotyp$Markers_per_language$FusionNounPlural.isolating.Presence,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
autotyp$Markers_per_language$FusionNounPlural.nonlinear.Presence,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
autotyp$Markers_per_language$FusionNounPlural.reduplicative.Presence,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
autotyp$Markers_per_language$FusionNounPlural.tonal.Presence,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
autotyp$Markers_per_language$FusionTense,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
autotyp$Markers_per_language$FusionTense.binned.binned6,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
autotyp$Markers_per_language$FusionTense.isolating.Presence,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
autotyp$Markers_per_language$FusionTense.nonlinear.Presence,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
autotyp$Markers_per_language$FusionTense.reduplicative.Presence,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
autotyp$Markers_per_language$FusionTense.tonal.Presence,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
autotyp$Markers_per_language$HostRestrictionsCase,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Markers_per_language$HostRestrictionsNegation,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Markers_per_language$HostRestrictionsNounPlural,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Markers_per_language$HostRestrictionsTense,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Markers_per_language$MorphemeTypeCase,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Markers_per_language$MorphemeTypeNeg,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Markers_per_language$PolyexponentialityCase.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Markers_per_language$PolyexponentialityNegation.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Markers_per_language$PolyexponentialityNounPlural.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Markers_per_language$PolyexponentialityTense.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Markers_per_language$PositionCase,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Markers_per_language$PositionCase.binned4,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Markers_per_language$PositionCase.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Markers_per_language$PositionCase.post.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Markers_per_language$PositionCase.pre.Presence.v1,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Markers_per_language$PositionCase.pre.Presence.v2,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Markers_per_language$PositionCase.simul.Presence.v1,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Markers_per_language$PositionCase.simul.Presence.v2,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Markers_per_language$PositionNeg,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Markers_per_language$PositionNeg.binned4,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Markers_per_language$PositionNeg.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Markers_per_language$PositionNeg.post.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Markers_per_language$PositionNeg.pre.Presence.v1,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Markers_per_language$PositionNeg.pre.Presence.v2,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Markers_per_language$PositionNeg.simul.Presence.v1,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Markers_per_language$PositionNeg.simul.Presence.v2,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Markers_per_language$PositionNounPlural,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Markers_per_language$PositionNounPlural.binned4,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Markers_per_language$PositionNounPlural.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Markers_per_language$PositionNounPlural.post.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Markers_per_language$PositionNounPlural.pre.Presence.v1,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Markers_per_language$PositionNounPlural.pre.Presence.v2,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Markers_per_language$PositionNounPlural.simul.Presence.v1,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Markers_per_language$PositionNounPlural.simul.Presence.v2,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Markers_per_language$PositionTense,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Markers_per_language$PositionTense.binned4,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Markers_per_language$PositionTense.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Markers_per_language$PositionTense.post.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Markers_per_language$PositionTense.pre.Presence.v1,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Markers_per_language$PositionTense.pre.Presence.v2,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Markers_per_language$PositionTense.simul.Presence.v1,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Markers_per_language$PositionTense.simul.Presence.v2,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Morpheme_types$Enclitic.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Morpheme_types$Endoclitic.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Morpheme_types$Infix.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Morpheme_types$MorphemeType.n,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Morpheme_types$PostMorpheme.n,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Morpheme_types$Prefix.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Morpheme_types$PreMorpheme.n,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Morpheme_types$Proclitic.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Morpheme_types$Suffix.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Morphology_per_language$Flexivity.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Morphology_per_language$FlexivityLexical.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Morphology_per_language$FlexivityLexicalNoun.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Morphology_per_language$FlexivityLexicalVerb.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Morphology_per_language$FlexivityNoun.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Morphology_per_language$FlexivityVerb.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Morphology_per_language$Polyexponence.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Morphology_per_language$PolyexponenceNoun.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Morphology_per_language$PolyexponenceVerb.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Morphology_per_language$SlotsWithZerosPost.n,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Morphology_per_language$SlotsWithZerosPrae.n,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Morphology_per_language$VAgreement.Presence.v2,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$NP_per_language$AdjAttrAgr.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$NP_per_language$AdjAttrConstr.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$NP_per_language$AdjAttrGvt.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$NP_per_language$AdjAttrMarking.overt.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$NP_per_language$NPAgr.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$NP_per_language$NPConstr.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$NP_per_language$NPGvt.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$NP_per_language$NPMarking.overt.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$NP_structure_presence$NPAgrGender.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPAgrNumber.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPAgrPerson.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPAgrReferential.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPAgrRole.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPAlienabilityConstraint.alienable.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPAlienabilityConstraint.fluid.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPAlienabilityConstraint.inalienable.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPBroadLocus.D_on_H.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$NP_structure_presence$NPBroadLocus.D.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$NP_structure_presence$NPBroadLocus.F.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$NP_structure_presence$NPBroadLocus.H.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$NP_structure_presence$NPDepCatConstraint.1_2Pro_or_N.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPDepCatConstraint.2_or_3Pro.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPDepCatConstraint.3Pro.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPDepCatConstraint.3sgPro.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPDepCatConstraint.Adj.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPDepCatConstraint.Adp.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPDepCatConstraint.AdvP.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPDepCatConstraint.Art.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPDepCatConstraint.DEM.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPDepCatConstraint.N_or_Pro.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPDepCatConstraint.N_proper.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPDepCatConstraint.N.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPDepCatConstraint.nonSAP.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPDepCatConstraint.NP.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPDepCatConstraint.Num_above_20.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPDepCatConstraint.Num.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPDepCatConstraint.Nv.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPDepCatConstraint.Ord.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPDepCatConstraint.Ord1.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPDepCatConstraint.Pro.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPDepCatConstraint.PTCP.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPDepCatConstraint.Quant.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPDepCatConstraint.S.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPDepCatConstraint.SAP.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPDepCatConstraint.V.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPDepSemClassConstraint.animate.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPDepSemClassConstraint.high_indexability.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPDepSemClassConstraint.human.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPDepSemClassConstraint.inanimate.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPDepSemClassConstraint.low_indexability.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPDepSemClassConstraint.meronyms.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPDepSemClassConstraint.non_specific.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPDepSemClassConstraint.specific.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPDetailedLocus.d_on_h.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPDetailedLocus.D_on_H.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPDetailedLocus.D.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPDetailedLocus.F.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPDetailedLocus.H.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPDetailedLocus.P.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPHeadSemConstraint.alienable.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPHeadSemConstraint.animals.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPHeadSemConstraint.body_parts.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPHeadSemConstraint.classifiers.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPHeadSemConstraint.clothing_terms.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPHeadSemConstraint.drinkable.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPHeadSemConstraint.edible.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPHeadSemConstraint.formal.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPHeadSemConstraint.high_indexability.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPHeadSemConstraint.human.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPHeadSemConstraint.inalienable.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPHeadSemConstraint.kin_terms.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPHeadSemConstraint.kin.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPHeadSemConstraint.kinds.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPHeadSemConstraint.meronyms.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPHeadSemConstraint.names.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPHeadSemConstraint.non_human.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPHeadSemConstraint.non_specific.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPHeadSemConstraint.origin.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPHeadSemConstraint.owner.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPHeadSemConstraint.parents_siblings.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPHeadSemConstraint.parts.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPHeadSemConstraint.plant_parts.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPHeadSemConstraint.plants.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPHeadSemConstraint.pragmatic.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPHeadSemConstraint.property.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPHeadSemConstraint.quantificational.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPHeadSemConstraint.referentiality.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPHeadSemConstraint.rocks.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPHeadSemConstraint.semantic.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPHeadSemConstraint.singular.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPHeadSemConstraint.specific.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPHeadSemConstraint.spouse.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPHeadSemConstraint.subsets.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPHeadSemConstraint.topological.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPHeadSemConstraint.tracks.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPHeadSemConstraint.transportation_means.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPHeadSemConstraint.unspecified_inanimate.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPHeadSemConstraint.village_group.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPHeadSemConstraint.volitional.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPHeadSemConstraint.weapon.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure_presence$NPMarkerFusion.ablaut_or_suppletive.Presence,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
autotyp$NP_structure_presence$NPMarkerFusion.ablaut_or_tonal.Presence,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
autotyp$NP_structure_presence$NPMarkerFusion.ablaut.Presence,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
autotyp$NP_structure_presence$NPMarkerFusion.concat_ablaut.Presence,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
autotyp$NP_structure_presence$NPMarkerFusion.concat_redupl.Presence,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
autotyp$NP_structure_presence$NPMarkerFusion.concatenative_or_suppletive.Presence,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
autotyp$NP_structure_presence$NPMarkerFusion.concatenative_or_tonal.Presence,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
autotyp$NP_structure_presence$NPMarkerFusion.concatenative_then_isolating.Presence,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
autotyp$NP_structure_presence$NPMarkerFusion.concatenative.Presence,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
autotyp$NP_structure_presence$NPMarkerFusion.distributed.Presence,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
autotyp$NP_structure_presence$NPMarkerFusion.isolating_then_concatenative.Presence,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
autotyp$NP_structure_presence$NPMarkerFusion.isolating.Presence,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
autotyp$NP_structure_presence$NPMarkerFusion.lenition.Presence,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
autotyp$NP_structure_presence$NPMarkerFusion.nonlinear.Presence,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
autotyp$NP_structure_presence$NPMarkerFusion.prosodic_template.Presence,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
autotyp$NP_structure_presence$NPMarkerFusion.reduplication.Presence,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
autotyp$NP_structure_presence$NPMarkerFusion.reduplicative_or_suppletive.Presence,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
