Variable,Narrow_Phon_Definition_Binary,Narrow_Phon_Definition_Detailed,Broad_Phon_Definition_Binary,Broad_Phon_Definition_Detailed,Broad_Phon_Definition_MoreDetailed,Broad_Phon_Definition_Consonantal_Vocalic,Broad_Phon_Definition_Prosodic_Segmental,Area_in_WALS
autotyp$Alignment_per_language$AgrSplitByRef.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Alignment_per_language$AgrSplitByValClass.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Alignment_per_language$AlignmentAgrAccDegree,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Alignment_per_language$AlignmentAgrAccDegree.binned3,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Alignment_per_language$AlignmentAgrDominantPTG,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Alignment_per_language$AlignmentAgrDominantSAP,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Alignment_per_language$AlignmentAgrDominantSAPTG,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Alignment_per_language$AlignmentAgrErgDegree,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Alignment_per_language$AlignmentAgrErgDegree.binned3,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Alignment_per_language$AlignmentAgrMarkerAccDegree,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Alignment_per_language$AlignmentAgrMarkerDominantSAP,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Alignment_per_language$AlignmentAgrMarkerErgDegree,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Alignment_per_language$AlignmentAgrMarkerErgDegree.binned3,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Alignment_per_language$AlignmentCaseAccDegree,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Alignment_per_language$AlignmentCaseAccDegree.binned3,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Alignment_per_language$AlignmentCaseDominantLexSAP,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Alignment_per_language$AlignmentCaseDominantProSAP,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Alignment_per_language$AlignmentCaseDominantPTG,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Alignment_per_language$AlignmentCaseDominantSAP,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Alignment_per_language$AlignmentCaseDominantSAPTG,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Alignment_per_language$AlignmentCaseErgDegree,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Alignment_per_language$AlignmentCaseErgDegree.binned3,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
